Bidang,Judul,Isi
Ekonomi,"Menko Airlangga Yakin Ekonomi Indonesia Tumbuh 5,5 Persen di 2021","Pemerintah optimistis ekonomi Indonesia akan tumbuh lebih baik dibanding tahun lalu meskipun pandemi Covid-19 masih membayangi. Hal ini didorong oleh berbagai upaya penganganan Covid-19 dan pemulihan ekonomi nasional yang dimulai tahun lalu. Menteri Koordinator Bidang Perekonomian (Menko Perekonomian) Airlangga Hartarto menjelaskan, berbagai lembaga dunia memperkirakan ekonomi Indonesia bakal tumbuh baik di 2021. “Hampir seluruh lembaga menilai bahwa pertumbuhan kita di 2020 terkontraksi lebih kecil dari berbagai negara lain, tentu kita akan melihat bahwa di 2021 pertumbuhan kita akan ada di sekitar 4,5-5,5 persen,” tutur Airlangga dalam keterangan tertulis, Selasa (26/1/2021). Optimisme juga didorong oleh program vaksinasi tahap pertama yang sedang berjalan saat ini. Vaksinasi perdana yang dilakukan Presiden Joko Widodo pada 13 Januari lalu kini tengah diteruskan kepada tenaga kesehatan dan pelayanan publik. “Pemerintah sudah membuat jadwal dimana jadwal ini Presiden meminta bahwa vaksinasi akan diselesaikan di bulan Desember. Diharapkan vaksinasi ini dapat mencapai target. Sekarang sekitar 179 ribu orang telah divaksinasi,” imbuhnya. Menurut Airlangga, berdasarkan arahan Presiden tersebut, masyarakat yang direncanakan akan divaksinasi Januari-Maret 2022 akan ditarik maju menjadi lebih awal. Airlangga mengimbau agar program vaksinasi dapat diawasi bersama. Ia juga mengimbau agar masyarakat senantiasa terus menjaga kedisiplinan dalam mencegah penyebaran Covid-19 dengan melakukan 3M, yakni Mencuci Tangan, Memakai Masker, dan Menjaga Jarak. “Selain itu, program Testing, Tracing, dan Treatment (3T) tetap harus dijalankan dan diikuti dengan ketersediaan obat. Diharapkan rumah sakit dapat menangani secara baik,” ujar Airlangga. Optimisme juga hadir dari indeks keyakinan konsumen yang mulai menunjukkan pemulihan tingkat kepercayaan dalam melakukan konsumsi. Hal ini tercermin dari peningkatan indeks keyakinan konsumen yang membaik ke level 96,5 di bulan Desember 2020. Menko Airlangga berharap indeks ini dapat cross ke 100, sehingga kontribusinya dapat lebih meningkatkan optimisme. Dunia usaha juga mulai bangkit, aktivitas manufaktur telah memasuki fase ekspansi (51,3) di bulan Desember 2020. “Impor barang baku dan barang modal sudah meningkat,” ujar Airlangga. Permintaan akan Kredit Usaha Rakyat (KUR) juga meningkat dalam beberapa bulan terakhir. Airlangga pun mengungkapkan bahwa tahun lalu realisasi KUR mencapai target 100 persen. “Penggunaan dari financial technology (fintech) juga sudah baik, angkanya sudah mencapai Rp140 triliun. Fintech adalah proxy untuk kegiatan Usaha Kecil dan Mikro (UKM),” ucap Menko Airlangga. Ketahanan sektor eksternal juga masih terjaga dengan baik. Hal ini didukung oleh neraca perdagangan yang telah mengalami surplus selama 8 bulan berturut-turut hingga sepanjang tahun 2020, serta surplus secara kumulatif mencapai 21,74 miliar USD. Menurutnya, angka tersebut menunjukkan bahwa ekspor Indonesia masih bergerak. Prestasi ini, lanjut Airlangga, didukung oleh beberapa produk manufaktur seperti CPO dan turunannya, batu bara, logam, elektronik, perhiasan, dan industri kertas. Sektor tersebut merupakan beberapa sektor yang bisa menopang perekonomian nasional. Menko Airlangga juga menuturkan bahwa IHSG dan nilai tukar Rupiah tengah membaik. Rupiah mencatat penguatan tertinggi sejak Maret 2020. “Indonesia adalah salah satu negara yang mampu menjaga pergerakan nilai tukar dibandingkan dengan negara-negara lain,” terangnya. Pemerintah pun berkomitmen untuk mendukung program Penanganan Covid-19 dan Pemulihan Ekonomi Nasional (PCPEN). “Angka terkait dengan alokasi pemulihan ekonomi di tahun 2021 besarnya 553 triliun, yang bila dibandingkan dengan tahun 2020 realisasinya adalah 579,78 triliun. Artinya Pemerintah sudah melihat bahwa pemulihan ekonomi di tahun 2021 ini memerlukan support yang sama dengan tahun 2020,” ucap Airlangga. Dukungan penciptaan lapangan kerja diberikan melalui UU No. 11 tahun 2020 tentang Cipta Kerja. Dalam waktu dekat, Pemerintah akan menurunkan RPP dan RPerpres. “Sehingga total regulasi yang dibuat adalah 52 peraturan pelaksanaan, yang terdiri dari 48 PP dan 4 RPerpres,” tutur Airlangga. Pemerintah juga menyiapkan rencana investasi atau positive list. Terdapat kurang lebih 246 bidang usaha prioritas yang nanti akan diberikan insentif fiskal dan non-fiskal (a.l. Tax Holiday dan Tax Allowances), 90 bidang usaha dialokasikan atau dimitrakan dengan koperasi dan UMKM, dan 46 bidang usaha dengan persyaratan. “Selain itu, lebih dari 1700 bidang usaha terbuka dengan semacam rule of thumb bahwa investasi dibawah 10 miliar itu adalah dikhususkan untuk UMKM, sedangkan untuk modal asing ataupun modal besar itu diatas Rp10 miliar,” ujar Airlangga. Untuk mengelola dana investasi dari luar negeri dan dalam negeri, Pemerintah mendirikan Lembaga Pengelola Investasi (LPI) yang diberi nama Indonesia Investment Authority (INA). Pemerintah juga sudah memasukan nama-nama yang akan menjadi dewan pengawas. Perluasan akses pasar bagi dunia usaha juga ditempuh pemerintah melalui perjanjian kerjasama internasional. Salah satunya Regional Comprehensive Economic Partnership (RCEP) yang telah ditandatangani. “RCEP merupakan blok perekonomian terbesar di dunia dengan market USD 186 billion. Dari RCEP ini diharapkan hampir seluruhnya menjadi mitra dagang Indonesia yang tentu sangat strategis,” pungkas Menko Airlangga"
Ekonomi,Realisasi Investasi Asing Bakal Bantu Pertumbuhan Ekonomi RI,"Mandiri Investment Forum 2021 yang akan berlangsung Februari 2021 diharapkan mampu meningkatkan pertumbuhan ekonomi di Indonesia. Hal itu diungkapkan Chief Economist Bank Mandiri Andry Asmoro, Senin (25/1/2021). ""Bank Mandiri mendorong untuk mendukung pertemuan investor dengan pemangku kepentingan agar kebijakan pemerintah mendukung ekonomi masyarakat nasional dapat tersampaikan secara baik,"" kata Andry. Selain itu, Andry berharap upaya pemerintah untuk mengakselerasi investasi di sektor penanaman modal asing ke Indonesia dapat terlaksana dengan baik, sehingga mampu mendorong pemulihan ekonomi serta menjaga pertumbuhan ke arah yang lebih baik. Dalam pemaparannya, Riset Office of Chief Economist Bank Mandiri memprediksi pertumbuhan ekonomi sepanjang 2021 mencapai 4,4 persen. pertumbuhan konsumsi dan investasi swasta yang diprediksi tumbuh positif pada 2021 dibandingkan 2020 yang terkontraksi. Selain, upaya vaksinasi oleh Pemerintah Jokowi sejak awal 2021. ""Berdasarkan perhitungan kami, pertumbuhan ekonomi dapat mencatat 4,4 persen. Karena itu Mandiri Investment Forum 2021 diharapkan mampu mendukung pertumbungan ekonomi tanah air,"" ujarnya. Selain itu, pada 2021 juga terdapat beberapa sektor ekonomi potensial untuk menarik investasi swasta. Di antaranya adalah sektor infrastruktur, kesehatan, pendidikan, hingga komunikasi atau ICT.  Kinerja industri manufaktur juga diprediksi membaik pada 2021 khususnya bagi sektor otomotif dan elektronik. ""Kalau komunikasi itu lebih karena peningkatan berbagai aktivitas digital seperti dari mulai sekolah hingga berkantor selama pandemi ini. Begitupun dengan manufaktur yang juga mengalami perbaikan khususnya otomotif dan elektronik imbas dari perjanjian dagang,"" kata dia. Tak hanya itu, Direktur Mandiri Sekuritas Silva Halim menegaskan, kegiatan MIF 2021 diharapkan mampu memberikan wawasan dan informasi yang komprehensif untuk membantu investor  menyusun strategi investasi berkelanjutan di Indonesia. Sejumlah tokoh penting akan hadir dalam acara Mandiri Investment Forum 2021, diantaranya Menteri Koordinator Bidang Perekonomian Airlangga Hartarto, Menteri Koordinator Kemaritiman dan Investasi Luhut B. Pandjaitan. Terdapat juga Menteri Keuangan Sri Mulyani, Menteri Pendidikan dan Kebudayaan Nadiem Makarim, Menteri Kesehatan Budi G. Sadikin, Kepala BKPM Bahlil Lahadalia, Wakil Menteri BUMN Kartika Wirjoatmodjo, Executive Chairman of Neo-bank Moven dan penulis buku Bank 4.0 Brett King serta profesor ekonomi Universitas Harvard Kenneth Rogoff."
Ekonomi,"Bank Mandiri Prediksi Ekonomi Indonesia Tumbuh 4,4 Persen di 2021","PT Bank Mandiri Tbk memprediksi bahwa pertumbuhan ekonomi Indonesia pada 2021 akan tumbuh positif di angka 4,4 persen. Pendorong pertumbuhan ekonomi di tahun ini adalah konsumsi dan investasi swasta. ""Kami memperkirakan ekonomi dapat tumbuh 4,4 persen di 2021,"" jelas Chief Economist Bank Mandiri Andry Asmoro dalam webinar Persiapan Pelaksanaan Mandiri Investment Forum 2021 secara virtual di Jakarta, Senin (25/1/2021). Proyeksi tersebut lebih baik dibandingkan 2020 karena didorong oleh pertumbuhan konsumsi dan investasi swasta yang diperkirakan akan tumbuh positif tahun ini dibandingkan 2020 yang terkontraksi. Menyusul telah dimulainya upaya vaksinasi oleh Pemerintah Jokowi sejak awal tahun ini. ""Sehingga ini akan mendorong tren pertumbuhan ekonomi ke arah yang lebih positif,"" imbuh dia. Dia menambahkan, pada tahun 2021 ini juga terdapat beberapa sektor ekonomi potensial untuk menarik investasi swasta. Di antaranya adalah sektor infrastruktur, kesehatan, pendidikan, hingga komunikasi atau ICT. Tak hanya itu, kinerja industri manufaktur juga diprediksi mengalami perbaikan di sepanjang tahun ini khususnya bagi sektor otomotif dan elektronik. ""Kalau komunikasi itu lebih karena peningkatan berbagai aktivitas digital seperti dari mulai sekolah hingga berkantor selama pandemi ini. Begitupun dengan manufaktur yang juga mengalami perbaikan khususnya otomotif dan elektronik imbas dari perjanjian dagang,"" jelas dia mengakhiri. Sebelumnya, International Monetary Fund (IMF) memprediksi kondisi pertumbuhan ekonomi Indonesia akan kembali pulih di tahun ini dan 2022. Lembaga ini meramal Produk Domestik Bruto (PDB) riil Indonesia mencapai 4,8 persen pada 2021 dan 6 persen di 2022. Tim International Monetary Fund (IMF), Thomas Helbling, menyebut bauran kebijakan ekonomi makro di Indonesia diperkirakan akan tetap akomodatif di tahun ini. ""Prospeknya positif. Membangun pemulihan ekonomi pada paruh kedua tahun 2020, PDB riil diproyeksikan meningkat sebesar 4,8 persen pada tahun 2021 dan 6 persen pada tahun 2022, dipimpin oleh langkah-langkah dukungan kebijakan yang kuat, termasuk rencana distribusi vaksin COVID-19 sebagai serta membaiknya kondisi ekonomi dan keuangan global,"" ujarnya dikutip dari laporan IMF, Jumat (8/1/2021). Komitmen untuk secara bertahap memulihkan pilar kebijakan pra-pandemi juga akan membantu lebih meningkatkan kepercayaan pasar, terutama jika didukung oleh langkah-langkah pendapatan. Maka dari itu, momentum reformasi struktural harus dipertahankan dengan pendalaman keuangan dan digitalisasi. Strategi pemerintah jangka menengah untuk mengamankan pendapatan pajak juga dibutuhkan untuk mencapai tujuan pembangunan jangka panjang dan perlindungan sosial yang lebih besar, dan transisi menuju ekonomi yang lebih hijau. IMF menilai Indonesia sudah merespons dengan paket kebijakan yang berani, komprehensif, dan terkoordinasi untuk mengatasi kesulitan sosial ekonomi akibat pandemi COVID-19. Intervensi kebijakan yang tepat waktu juga membantu menjaga stabilitas keuangan makro dan eksternal melalui periode tekanan pasar global. Untuk mengamankan pemulihan yang sedang berlangsung, dukungan kebijakan yang memadai akan sangat penting. Bauran kebijakan makroekonomi yang akomodatif yang diharapkan pada tahun 2021 disambut baik. Sementara, untuk jangka menengah, pemulihan kerangka kebijakan ekonomi makro harus segera di ambil, seperti mengembalikan 3 persen dari target defisit anggaran PDB. “Pengaturan kebijakan fiskal yang direncanakan untuk 2021 akan membantu mendorong pemulihan. Sambil mempertahankan beberapa pengeluaran darurat terkait pandemi mulai tahun 2020, anggaran 2021 mengalokasikan kembali sumber daya anggaran dan potensi pelimpahan untuk peningkatan pengeluaran berdampak tinggi, terutama investasi publik,"" jelas dia. Adapun langkah mendukung pemulihan tersebut Indonesia juga harus mengupayakan akomodasi moneter, melalui kombinasi suku bunga kebijakan yang lebih rendah dan pembelian obligasi pemerintah Bank Indonesia (BI), adalah tepat dalam keadaan luar biasa saat ini. Rencana otoritas untuk hanya menggunakan mekanisme pasar yang ditetapkan pada April 2020 untuk pembelian obligasi pemerintah BI pada 2021 akan memberikan keseimbangan yang lebih baik, antara manfaat dan risiko yang terkait dengan pembiayaan anggaran moneter oleh BI. “Sistem perbankan tetap stabil, berkat intervensi kebijakan yang berani dan tepat waktu. Namun, pencadangan kerugian pinjaman yang memadai akan menjadi penting bagi kemampuan bank untuk menyerap risiko kualitas aset yang meningkat,"" jelasnya. Sementara Omnibus Law tentang penciptaan lapangan kerja harus membantu menurunkan hambatan terhadap pekerjaan baru, menciptakan investasi dan meningkatkan produktivitas. SertaPenerapan Regional Comprehensive Economic Partnership (RCEP) di Indonesia akan memperkuat manfaat ini bagi Indonesia."
Ekonomi,"Ekonomi RI Bakal Membaik, intip 3 Sektor Saham Pilihan Manulife Aset Manajemen","Pemulihan ekonomi Indonesia diprediksi terjadi pada 2021. Hal ini membuat sektor saham akan mengalami dampak positif dan berpeluang menguat dibandingkan 2020 seperti di paparkan PT Manulife Aset Manajemen Indonesia (MAMI). Dalam penjelasannya, Senior Portfolio Manager Equity MAMI, Samuel Kesuma mengatakan, terdapat tiga sektor saham yang diunggulkan pihaknya karena dinilai memiliki peluang tumbuh pesat. ""Saya rasa demand untuk energi akan meningkat seperti minyak dan batu bara serta material industri metal juga akan meningkat. Terlebih kita sekarang memiliki nikel,"" ujar dia. Menjadi bahan baku kendaraan listrik, nikel diprediksi mengalami peningkatan permintaan pada 2021. ""Sebelumnya kita dikenal sebagai penghasil kelapa sawit dan batu bara,"" ujar Samuel. Selanjutnya, terdapat sektor telekomunikasi. Meski sudah ada masyarakat yang bekerja di kantor, Samuel menegaskan perubahan sistem kerja dari Work From Home (WFH) membutuhkan waktu. Hal ini membuat pihaknya yakni akan perkembangan sektor telekomunikasi. ""Lalu sektor telekomunikasi. Tahun 2021 akan tetap baik, karena memang kerja di office akan terjadi secara bertahap. Apalagi beberapa perusahaan sadar, biarpun tahun 2020 kerja dari rumah tapi tetap produktif,"" ujar dia. Terakhir, Samuel menjelaskan sektor saham keuangan akan tetap bertumbuh. Meningkatnya daya beli masyarakat menjadi salah satu faktor pertumbuhan ini. ""Lalu sektor finansial terutama perbankan. Mereka jadi berani menawarkan tingkat deposito tahun ini. Kalau 2021 sudah mulai normal, masyarakat juga akan berani mengambil kredit,"" ujar dia. Sebelumnya, gerak Indeks Harga Saham Gabungan (IHSG) berfluktuasi pada perdagangan saham Kamis, 14 Januari 2021. Aksi ambil untuk pelaku pasar sehingga menekan laju IHSG meski terbatas. Pada penutupan perdagangan berdasarkan data RTI, IHSG melemah tipis 0,11 persen  atau 6,89 poin ke posisi 6.428,31. Indeks saham LQ45 merosot 0,05 persen ke posisi 1.002,38. Sebagian besar indeks saham acuan tertekan. Sebanyak 301 saham melemah sehingga menekan IHSG. 194 saham menguat dan 144 saham diam di tempat. Total frekuensi perdagangan 2.009.302 kali dengan volume perdagangan 35,7 miliar saham. Nilai transaksi harian saham Rp 28,2 triliun. Investor asing beli saham Rp 395,49 miliar di pasar reguler. Posisi dolar Amerika Serikat (AS) berada di kisaran Rp 14.077. Sebagian besar sektor saham sektor saham menguat dan melemah. Sektor saham industri dasar naik 1,6 persen, dan memimpin penguatan, diikuti sektor saham infrastruktur mendaki 0,73 persen dan sektor saham perdagangan mendaki 0,33 persen. Sedangkan sektor saham konstruksi tergelincir 0,96 persen, diikuti sektor saham barang konsumsi turun 0,57 persen dan sektor saham keuangan melemah 0,63 persen. Saham-saham yang menguat tajam atau top gainers antara lain saham TMPO melonjak 31,72 persen ke posisi Rp 191 per saham, saham TPMA menguat 25 persen ke posisi Rp 625 per saham, dan saham FILM menanjak 25 persen ke posisi Rp 280 per saham. Sedangkan saham-saham yang catat top loser atau melemah signifikan antara lain saham ATIC merosot 7 persen ke posisi Rp 930 per saham, saham PLAN merosot 7 persen ke posisi Rp 93 per saham, dan saham MTSM tergelincir 7 persen ke posisi Rp 186 per saham. Bursa saham Asia sebagian besar melemah kecuali indeks saham Hong Kong Hang Seng naik 0,93 persen, indeks saham Korea Selatan Kospi mendaki0,07 persen, indeks saham Jepang Nikkei menguat 0,85 persen dan indeks saham Singapura mendaki 0,74 persen. Sementara itu, indeks saham Thailand susut 0,32 persen, indeks saham Shanghai melemah 0,91 persen dan indeks saham Taiwan merosot 0,40 persen. Pengamat pasar modal Riska Afriani menuturkan, koreksi IHSG masih wajar seiring pelaku pasar sedikit merealisasikan keuntungan dan jenuh beli. “5 hari hijau terus. Ada titik jenuh beli. Koreksi wajar. Investor asing juga masih masuk. Profit taking wajar yang dilakukan investor,” ujar dia saat dihubungi Liputan6.com."
Ekonomi,Vaksinasi Covid-19 Jadi Salah Satu Strategi Pemerintah Pulihkan Ekonomi di 2021,"Menteri Perindustrian (Menperin) Agus Gumiwang Kartasasmita menjelaskan, pemerintah sudah menyiapkan beberapa strategi pemulihan ekonomi dari dampak pandemi Covid-19. Strategi tersebut akan langsung dijalankan di hari pertama 2021. Salah satu yang akan dijalankan adalah vaksinasi. ""Pemulihan ekonomi nasional di masa pandemi adalah pelaksanaan vaksinasi itu sendiri,"" kata Agus dalam diskusi FMB Menjaga Laju Keberlangsungan Industri di Tengah Pandemi, Rabu (30/12/2020). Dia menambahkan, selain proses vaksinasi, strategi yang akan mendorong pertumbuhan ekonomi di 2021 yakni implementasi daripada Undang-Undang Cipta Kerja. Lalu melanjutkan program pemulihan ekonomi (PEN) yang sudah digencarkan di 2020. ""Selain itu sejumlah strategi lainnya selalu kami siapkan yaitu salah satunya dengan melanjutkan program-program yang ada di komite PEN atau penanganan Covid-19 dan pemulihan ekonomi nasional,"" ujarnya. Sebagai langkah pemulihan, pemerintah juga akan melanjutkan dukungan kebijakan untuk pemberdayaan UMKM. Tak hanya itu pemerintah juga melakukan penyusunan daftar prioritas investasi (DPI) serta pembentukan lembaga pengelola investasi atau LPI. Sedangkan pengungkit pertumbuhan ekonomi lainnya, adalah program ketahanan pangan, pengembangan kawasan industri, mandatory B30, program padat Karya. ""Dan tentu yang tidak kalah penting program pengembangan ekonomi digital,"" jelasnya. Dia menambahkan, optimisme dalam memanfaatkan peluang-peluang pemulihan ekonomi tersebut, tentu didasari dengan strategi pemulihan ekonomi melalui kebijakan dan program yang telah disusun oleh pemerintah. Dengan cara bersinergi dengan seluruh pemangku kepentingan yang ada."
Ekonomi,Gubernur BI Perry Warjiyo Ungkap 3 Cara Akselerasi Pertumbuhan Ekonomi Indonesia di 2021,"Gubernur Bank Indonesia (BI) Perry Warjiyo membeberkan tiga hal yang dapat mengakselerasi pertumbuhan ekonomi Indonesia ke level 4,8 persen hingga 5,8 persen pada 2021. Pertama, Perry optimistis kinerja ekspor pada tahun depan akan semakin baik. Keyakinan ini seiring dengan perbaikan ekonomi global, khususnya negara mitra dagang utama Indonesia. ""Ekspor tahun depan akan semakin baik, ini didukung oleh pertumbuhan ekonomi global yang akan membaik, seperti kami perkirakan di 2021 tumbuh 5 persen,"" kata dia dalam Outlook Perekonomian Indonesia 2021, Selasa (22/12/2020). Sebagai contoh, Perry menyebutkan China sebagai salah satu negara mitra dagang Indonesia yang akan ekonominya diperkirakan akan tumbuh 7,8 persen. Serta Amerika Serikat (AS) yang diperkirakan tumbuh 4,3 persen. “Ini adalah sumber pertumbuhan ekonomi dari ekspor,” kata dia. Kedua, lanjut Perry, yakni dari sisi konsumsi, baik swasta maupun pemerintah. Dia mengatakan, bantuan pemerintah untuk perlindungan sosial juga akan terus mendukung daya beli masyarakat. Ketiga, yakni dari sisi investasi. Perry memperkirakan investasi pada 2021 akan terakselerasi, tercermin dari belanja pemerintah di bidang infrastruktur yang besar, juga didukung oleh implementasi UU Cipta Kerja."
Ekonomi,Jokowi Komitmen Lanjutkan Program Bansos dan Kesehatan di 2021,"Presiden Joko Widodo (Jokowi) berkomitmen untuk melanjutkan sejumlah program terkait penanganan kesehatan dan pemberian bantuan sosial (bansos) pada 2021. Sebab, ia meyakini dampak pandemi Covid-19 belum akan selesai dalam waktu dekat. ""Di tahun 2021, tentunya kebijakan yang baik di 2020 akan terus dilanjutkan dan akan terus diteruskan. Terutama bidang kesehatan, penanganan Covid-19 dan pemberian bantuan sosial untuk rakyat,"" kata Jokowi dalam video sambutannya di acara Outlook Perekonomian Indonesia, Selasa (22/12/2020). Jokowi mengatakan, pandemi Covid-19 telah membuat 2020 ini menjadi tahun yang sangat sulit. Itu terlihat dari pertumbuhan ekonomi yang terkontraksi secara dua triwulan beruntun pada kuartal II dan III 2020. ""Tahun 2020 memang di kuartal I ekonomi kita masih tumbuh plus 2,97 persen. Namun di kuartal II karena Covid-19 kita terkontraksi turun tajam jadi -5,32 Persen. Kemudian di kuartal III ekonomi tercatat alami perbaikan meski minus 3,49 persen,"" ungkapnya. Menindaki situasi ini, pemerintah telah berupaya untuk melakukan penanganan Covid-19 sekaligus pemulihan ekonomi nasional. Jokowi menyebutkan, usaha tersebut telah berbuah hasil jelang tutup tahun 2020 ini. ""Secara konsisten kebijakan pemulihan ekonomi nasional yang dijalankan sudah mulai terlihat hasilnya. Tren perbaikan seperti ini kita berharap situasi perekonomian ke depan akan lebih baik dan akan membaik,"" tukas Jokowi."
Ekonomi,"Ekonomi Bakal Pulih Usai Penemuan Vaksin Covid-19? Belum Tentu, Ini Alasannya","Penemuan vaksin covid-19 menjadi kunci pemulihan perekonomiandi tahun depan. Namun tugas berat yang harus dihadapi kemudian adalah mendistribusikan vaksin tersebut ke seluruh penduduk Indonesia. ""Vaksin harapannya ada di kuartal I 2021. Tapi itupun tetap akan dengan risiko yang tinggi. Vaksin ada, apakah bisa menjangkau cukup populasi Indonesia? Belum tentu,"" ujar Kepala Badan Kebijakan Fiskal Kementerian Keuangan, Febrio Kacaribu, dalam diskusi online, Jakarta, Jumat (25/9/2020). Dengan adanya kemungkinan tersebut, Febrio mengatakan, sejumlah risiko masih terus diwaspadai oleh pemerintah. Termasuk menjaga keberlangsungan hidup 40 persen masyarakat termiskin. ""Risiko ini tetap harus difaktorin cara kita asses perekonomian kita dan persisnya, apa langkah-langkah yang dilakukan untuk memastikan 40 persen termiskin bisa terjamin tidak lebih susah hidupnya,"" katanya. Selain itu, pemerintah juga menginginkan tenaga kerja Indonesia yang mayoritas informal bisa kembali bekerja. Sedangkan pekerja formal dengan penghasilan di bawah Rp 5 juta mendapat subsidi. ""Lalu bagaimana tenaga kerja mayoritas informal bisa kembali bekerja. Lalu tenaga kerja formal UMP Rp 5 juta, juga dapat subsidi gaji. Program-program ke depan terus finetuning sesuai pantauan di lapangan,"" jelasnya. Febrio menambahkan, pemulihan ekonomi Indonesia pada 2021 menjadi ambisi yang kuat untuk mencapai target pertumbuhan ekonomi sebesar 4,5 hingga 5,5 persen. Berbagai upaya akan dilakukan agar target tersebut bisa tercapai. ""Harapannya di 2021 ini menjadi ambisi kita, supaya 2021 kita bisa pulih lebih cepat. Katakanlah minimal 4,5 hingga 5,5 persen. Kalau kita berada di pertumbuhan ekonomi rendah 2020, itu menjadi basis rendah,"" jelasnya. ""Sehingga pertumbuhan ekonomi 4,5 hingga 5,5 persen harusnya cukup realistis. Tapi bukan tanpa kerja keras, itu harus dilakukan segala policy disiapkan ke arah buat perekonomian makin kuat pulih dan tenaga kerja makin siap untuk pemulihan ke sana,"" tandasnya."
Ekonomi,"Di Forum Internasional, Sri Mulyani Cerita Ekonomi Indonesia Ambruk Akibat Pandemi","Dalam forum internasional, Menteri Keuangan Sri Mulyani akui pandemi Covid-19 membuat perekonomian Indonesia terpuruk. Pada kuartal kedua tahun 2020, pertumbuhan ekonomi Indonesia terkontraksi hingga minus 5,23 persen. Kondisi ini pertama kali terjadi sejak krisis 1998 yang pernah dialami Indonesia. ""Tidak terkecuali Indonesia yang mengalami kontraksi terbesar sejak tahun 1998,"" kata Sri Mulyani dalam Governors’ Seminar: Developing Asia Beyond the Pandemic, Jakarta, Kamis (18/9). Kata Sri Mulyani, situasi dan kondisi di Indonesia saat ini lebih baik daripada di kuartal sebelumnya. Berbagai strategi ditempuh Pemerintah Indonesia untuk kembali memutar roda perekonomian. Namun, tetap saja perekonomian belum akan kembali seperti semula sebelum menemukan solusi dari masalah utamanya. ""Kita tidak bisa recovery sebelum masalah pandemi Covid-19 diselesaikan,"" kata dia. Pandemi Covid-19 ini juga membuat Pemerintah Indonesia terpaksa melebarkan defisit anggaran hingga 6,72 persen dari Pendapatan Domestik Bruto (PDB). Pelebaran defisit tersebut dikatakan Sri Mulyani sebagai langkah extraordinary dalam penanganan dampak pandemi pada sektor ekonomi. ""Kami mengarahkan dukungan fiskal untuk penanganan kondisi extraordinary. Ini pertama kali bagi Indonesia sejak tahun 1998,"" kata dia. Meski begitu, bendahara negara ini memastikan defisit anggaran pada tahun 2021 dipangkas hingga setengahnya. Langkah ini diambil masih dalam rangka melakukan pemulihan ekonomi nasional. ""Tahun depan defisit akan dikurangi dari tahun ini untuk melanjutkan program pemulihan ekonomi nasional,"" kata Sri Mulyani mengakhiri."
Ekonomi,Pelabuhan Patimban Bakal Tingkatkan Kesejahteraan Masyarakat,"Direktur Jenderal Perhubungan Darat Kementerian Perhubungan (Kemenhub), Budi Setiyadi, menilai bahwa kehadiran Pelabuhan Patimban di Kabupaten Subang, Jawa Barat akan memberikan sentimen positif bagi perekonomian Indonesia, khususnya pada kinerja logistik nasional. Menurut dia, ada 6 penggerak utama sistem logistik nasional yang harus diperbaiki. 6 Penggerak tersebut adalah faktor komoditas utama, infrastruktur logistik, pelaku, penyedia jasa, sumber daya manusia (SDM), dan harmonisasi regulasi. ""Nantinya dengan akan diresmikannya Pelabuhan Patimban, tentunya akan ada perbaikan dari intervensi pemerintah untuk memperbaiki infrastruktur logistik,"" kata Budi saat berdiskusi dalam webinar bersama Liputan6.com, Jumat (27/11/2020). Budi mengatakan, hal tersebut nantinya juga akan memberikan kontribusi terhadap perbaikan, sistem logistik nasional di Tanah Air, yang efeknya adalah Indonesia akan mempunyai daya saing yang cukup baik di tingkat nasional maupun internasional. ""Dan tentunya yang akan kita dapatkan berikutnya adalah kesejahteraan masyarakat akan semakin meningkat,"" sambungnya. Berdasarkan sudut pandangnya, sistem jaringan logistik nasional itu harus terintegrasi, baik dengan pelabuhan hub internasional di beberapa benua dan negara yang lain, juga terintegrasi dengan beberapa pelabuhan yang ada di pulau-pulau Indonesia. ""Tentunya nantinya dengan adanya pelabuhan internasional Indonesia yang ada di Patimban, sebagai opsi lain dari pelabuhan yang ada di Tanjung Priok, ini akan memberikan kontribusi yang lebih terhadap kinerja infrastruktur,"" ujar Budi."
